phrase,abbr,count
inclusion body myopathy,IBM,1
inclusion bodies,IB,1
inbred Short Sleep,ISS,1
inbred Long Sleep,ILS,1
inactivated polio vaccine,IPV,1
in vivo microscopy,IVM,1
in vivo laser capture microdissection,IVLCM,1
in vivo genomic footprinting,IVGF,1
in vivo flow cytometry,IVFC,1
in vivo expressed factors,IVEFs,1
in vivo confocal microscopy,IVCM,1
in vitro transcription translation,IVTT,1
in vitro maturation,IVM,1
in vitro in vivo correlation,IVIVC,1
in utero hematopoietic cellular transplantation,IUHCT,1
in situ end labelling,ISEL,1
in person,IP,1
in hospital cardiac arrests,IHCA,1
in depth interviews,IDI,1
imprinting control centers,ICC,1
imprinting cancer,IC,1
impoverished condition,IC,1
implanted cardiac defibrillators,ICDs,1
implanted cardiac defibrillator,ICD,1
implantable gastric stimulation,IGS,1
impaired glucose uptake,IGU,1
immunohistochemical mapping,IM,1
immunoglogulin E,IgE,1
immunoglobulin mu,IgM,1
immunoglobulin knock out,IgKO,1
immunoglobulin T cell receptor,IgTCR,1
immunoglobulin G,IgG2a,1
immunoglobulin A,dIgA,1
immuno stimulatory agents,ISAs,1
immune tyrosine inhibitory motifs,ITIMs,1
immune tolerance induction,ITI,1
immune synapse,IS,1
immune response,IR,1
immune reconstitution,IR,1
immune privileged,IP,1
immune domain containing receptors,IDCRs,1
immune checkpoint blockade,ICB,1
immune based therapies,IBT,1
immobilized pH gradient,IPG,1
immature secretory granules,ISGs,1
imidiazolene receptor,IR,1
imidazoline receptor,IR1,1
image intensifier,II,1
image guided therapy,IGT,1
image guided surgical,IGS,1
image guided surgery,IGS,1
image guided radiation induced permeability,IGRIP,1
image guided intervention,IGI,1
image based clinical trials,IBCTs,1
illness impact,II,1
ileo cecal resection,ICR,1
ileal bile acid binding protein,IBABP,1
idiosyncratic adverse drug reactions,IADRs,1
idiopathic ventricular fibrillation,IVF,1
idiopathic urethritis,IU,1
idiopathic interstitial pneumonia,fIIP,1
idiopathic inflammatory myositis,IIM,1
idiopathic inflammatory myopathies,IIM,1
idiopathic infantile arterial calcification,IIAC,1
idiopathic hypercalciuria,IH,1
idiopathic chronic diarrhea,ICD,1
identified stem cells,ISCs,1
ichthyosis with confetti,IWC,1
ichthyosis vulgaris,IV,1
hypoxic ventilatory response,HVR,1
hypoxic ventilatory response,dHVR,1
hypoxic response elements,HREs,1
hypoxia responsive elements,HREs,1
hypoxia ischemia,H/I,1
hypoxia inducing factor,HIF,1
hypoxia inducible protein,HIP,1
hypoxia inducible element,HIE,1
hypoxia induced mitogenic factor,HIMF,1
hypoxia induced factor,HIF,1
hypoxia associated proteins,HAPs,1
hypoxanthine aminopterin thymidine,HAT,1
hypothetical scanning,HS,1
hypothalamus pituitary gonadal,HPG,1
hypothalamo pituitary gonald,HPG,1
hypothalamo pituitary gonadal,HPG,1
hypothalamo pituitary adrenocortical,HPA,1
hypothalamo neurohypophysial system,HNS,1
hypothalamic pituitary ovarian,HPO,1
hypothalamic pituitary axis,HPA,1
hypothalamic pituitary adrenal placental,HPAP,1
hypothalamic pituitary,HP,1
hypoglycemia unawareness,HU,1
hypoglossal motor nucleus,HMN,1
hypertrophic scarring,HS,1
hypertonic saline/6% dextran,HSD,1
hyperthermic stress,HS,1
hypertensive nephrosclerosis,HN,1
hyperplastic polyps,HPs,1
hyperoxic lung injury,HLI,1
hyperintense cortical signal,HCS,1
hyperemesis gravidarum,HG,1
hyper permeability factor,HPF,1
hypaxial motor column,HMC,1
hydroxypropylphosponate epoxidase,HppE,1
hydroxypropylphosphonate epoxidase,HppE,1
hydroxyethylphosphonate methyltransferase,HepM,1
hydrophobic cluster analysis,HCA,1
hydrogen atom transfer,HAT,1
hybrid insulin peptides,HIPs,1
hybrid binding site,HBS,1
hyaloid vascular system,HVS,1
huntingtin interacting proteins,HIPs,1
humoral immunity,HI,1
human vascular smooth muscle cell,HVSMC,1
human vaginal epithelial cells,HVECs,1
human uroepithelial cells,HUC,1
human umbilical vein,HUV,1
human umbilical vasculature endothelial cells,HUVEC,1
human umbilical artery smooth muscle,HUASM,1
human tumor cell lines,HTCL,1
human subjects,HS,1
human serum albumin,rHSA,1
human retinal endothelial cells,HRECs,1
human renal microvascular endothelial cells,HRMEC,1
human pulmonary artery smooth muscle cells,HPASMC,1
human pulmonary arterial smooth muscle cells,HPASMC,1
human progenitor cell,HPC,1
human primary hepatocyte,HPH,1
human primary B,HPB,1
human peripheral blood,HPB,1
human patient simulator,HPS,1
human papilloma virus,HPV+,1
human pancreatic ductal epithelial,HPDE,1
human ovarian cancer cells,HOCCs,1
human ovarian cancer cell,HOCC,1
human origin recognition complex,HsORC,1
human neutrophil elastase,HNE,1
human monocyte derived M,HMDM,1
human monoclonal antibodies,HMAbs,1
human milk oligosaccharides,HMO,1
human milk,HM,1
human microvascular endothelial cell,HMEC,1
human melanocyte,HM,1
human lung vascular smooth muscle cells,HLVSMC,1
human lung vascular endothelial cells,HLVEC,1
human lung microvascular endothelial cells,HLMECs,1
human lung fibroblasts,HLF,1
human liver microsomes,HLM,1
human limbal epithelial keratinocytes,HLEKs,1
human lens epithelial,HLE,1
human keratoconus cells,HKCs,1
human intestinal lymphatic endothelial cells,HILEC,1
human immunodeficiencies virus,HIV,1
human herpes virus,HHV,1
human genome working draft,HGWD,1
human foreskin keratinocytes,HFKs,1
human foreskin fibroblast,HFF,1
human endometrial endothelial cells,HEECs,1
human dermal micro vascular endothelial cell,HDMVEC,1
human dermal keratinocyte,HDK,1
human dermal fibroblast,HDF,1
human coronary artery endothelial cells,HCAECs,1
human coronary arterioles,HCAs,1
human coronary arterioles,HCA,1
human corneal limbal epithelial,HCLE,1
human corneal fibroblasts,HCF,1
human corneal fibroblasts,HCFs,1
human corneal epithelial keratinocytes,HCEKs,1
human corneal epithelial cells,HCEC,1
human corneal epithelial cells,HCECs,1
human corneal epithelial,HCE,1
human computer interface,HCI,1
human colonic circular smooth muscle cells,HCCSMC,1
human colon cancer cells,HCCCs,1
human cementum derived cells,HCDC,1
human carbonic anhydrases,HCAs,1
human bronchial epithelia,HBE,1
human breast tumor antigen,HBTA1,1
human breast cancer cell,HBCC,1
human breast cancer,HBC,1
human brain mapping,HBM,1
human brain endothelial cell,HBEC,1
human bone marrow endothelial cells,HBMEC,1
human beta defensins,HBD,1
human artificial chromosome,HAC,1
human aortic valvular endothelial cells,HAVECs,1
human aortic smooth muscle cell,HASMC,1
human albumin,HA,1
human accelerated conserved noncoding sequences,HACNSs,1
human abdominal aortic endothelial,HAAE,1
human S,HuS,1
human Rad5l,HsRad5l,1
human Rad51,HsRad51,1
human Pex5p,HsPex5p,1
hpothalamo neurohypophysial system,HNS,1
host mitochondrial association,HMA,1
host adapted Borrelia,HAB,1
hospital referral regions,HRRs,1
hospital acquired pneumonia,HAP,1
hormone response unit,HRU,1
hormone response elements,HREs,1
hormone refractory prostate. cancer,HRPC,1
hormone refractory,HR,1
hormone binding affinity,HBA,1
hormonal contraception,HC,1
horizontal cell,HC,1
hook basal body,HBB,1
homoserine kinase,HK,1
homogeneity indices,HI,1
homeostatic synaptic plasticity,HSP,1
homeostatic synapse membrane crosstalk,HSMC,1
homeostatic sleep pressure,HSP,1
homeostatic sleep drive,HSD,1
homeodomain only protein,HOP,1
home visitors,HV,1
home visitation alone,HVA,1
home visitation,HV,1
home visit program,HVP,1
home test,HT,1
home health agencies,HHAs,1
home delivered meal,HDM,1
home based primary care,HBPC,1
hollow gold nanoshells,HGN,1
histone fold domain,HFD,1
histone deacetylase,HD,1
histone acetylase transferase,HAT,1
histocompatibility antigens,mHAgs,1
histocompatibility antigens,miHAg,1
histocompatibility antigens,HA,1
histocompatibility antigens,mHAs,1
histidine kinases,HKs,1
histamine succinyl glycine,HSG,1
histamine release,HR,1
histamine receptors,HRs,1
hippocampal systems,HS,1
hippocampal sclerosis,HS,1
hippocampal neural progenitor cells,HNPCs,1
hip fracture,HF,1
hip adductor torque,HAdT,1
hinge region,HR,1
hindgut proliferation zone,HPZ,1
hind limb ischemia,HLI,1
highly skewed X inactivation,HSXI,1
highly pathogenic,HP,1
highly palatable,HP,1
highly basic region,HBR,1
highly active and retroviral therapy,HAART,1
higher visual areas,HVAs,1
high voltage,HV,1
high throughput screens,HTSs,1
high threshold mechanoreceptors,HTMs,1
high school,HS,1
high risk sexual behavior,HRSB,1
high resolution timing array,HRTA,1
high resolution melting,HRM,1
high resolution manometry,HRM,1
high resolution magic angle spinning,HRMAS,1
high resolution electrophoresis,HRE,1
high resolution anoscopy,HRA,1
high quality,HQ,1
high protein,HP,1
high power fields,HPFs,1
high passage,HP,1
high order statistics,HOSs,1
high mobility group box1,HMGB1,1
high mobility group A2,HMGA2,1
high methionine low folate,HMLF,1
high intensity transient signals,HITS,1
high intensity strength training,HIST,1
high infectivity,HI,1
high grade serious carcinoma,HGSC,1
high grade invasive bladder cancers,HGIBC,1
high grade anal intraepithelial neoplasia,HGAIN,1
high functioning,HF,1
high frequency ultrasound,HFU,1
high frequency oscillation,HFO,1
high frequency nasal ventilation,HFNV,1
high frequency alternating currents,HFAC,1
high frequency,HF,1
high flow therapy,HFT,1
high field,HF,1
high fat diet induced obesity,HFDIO,1
high fat chow,HFC,1
high energy intermediates,HEI,1
high efficiency particulate air,HEPA,1
high efficiency,HE,1
high dose interferon,HDI,1
high dose chemotherapy,HDC,1
high dimensional brain mapping,HDBM,1
high density lipoproteins,nHDL,1
high density lipoproteins,HDLs,1
high density lipoprotein cholesterol,HDLC,1
high definition X ray fluorescence,HDXRF,1
high definition,HD,1
high deductible health plans,HDHP,1
high cortisol response,HCR,1
high content screens,HCS,1
high content imaging,HCI,1
high contact,HC,1
high capacity runners,HCRs,1
high angular resolution diffusion,HARD,1
high altitude cerebral edema,HACE,1
high altitude,HA,1
high alcohol preferring,HAP,1
high affinity,HA,1
hierarchical clustering,HC,1
hexosaminidase A,HexA,1
hexanucleotide repeat expansion,HRE,1
hexa dehydro Diels Alder,HDDA,1
heterokaryon incompatibility,HI,1
heterogeneity associated mitochondrial redox imaging,HAMRI,1
heterocyclic aromatic amine,HAA,1
heterochromatic repulsion,HR,1
herpes virus entry mediator,HVEM,1
herpes simplex viral,HSV,1
herpes simplex keratitis,HSK,1
herpes gestationis,HG,1
herniated nucleus pulposus,HNP,1
hereditary xerocytosis,HX,1
hereditary spherocytosis,rHS,1
hereditary spastic paraparesis,HSP,1
hereditary prostate cancer,HPC,1
hereditary pancreatitis,HP,1
hereditary non polyposis colorectal cancers,HNPCCs,1
hereditary neuralgic amyotrophy,HNA,1
hereditary hemorrhagic telangiectasia,HHT1,1
hereditary hearing impairment,HHI,1
hereditary haemorrhagic telangiectasia,HHT,1
hereditary gingival fibromatosis,HGF,1
hereditary folate malabsorption,HFM,1
hereditary ferritinopathy,HF,1
hepatocyte nucleus factors,HNF,1
hepatocyte nuclear factors,HNF,1
hepatocyte nuclear factor4,HNF4,1
hepatitis D virus,HDV,1
hepatitis B viruses,HBV,1
hepatitis B immune globulin,HBIG,1
"hepatitis A virus,",HAV,1
hepatic stellate cells,qHSCs,1
hepatic parenchymal cells,HPCs,1
hepatic iron concentration,HIC,1
hepatic glucose output,HGO,1
hepatic arterial infusion,HAI,1
heparin binding domain,HBD,1
heparin binding,HB,1
hemorrhagic hypotension,HH,1
hemorrhagic colitis,HC,1
hemophilia A,HemA,1
hemophagocytic macrophages,HM,1
hemoglobin based O2 carriers,HBOCs,1
hemoglobin S,HbS,1
hemodynamic response function,HRF,1
hemichannel plaques,HPs,1
hemi channels,uHCs,1
heme oxygenase,HO1,1
heme O synthase,HOS,1
heme A synthase,HAS,1
hematopoietic stem/progenitor cell,HSC,1
hematopoietic stem progenitor cells,HSPCs,1
hematopoietic precursor cells,HPCs,1
hematopoietic pockets,HPs,1
hematopoietic growth factors,HGFs,1
hematopoietic cell transplantation,alloHCT,1
hematopoieic stem cells,HSCs,1
hematopeotic stem cell transplant,HSCT,1
hematopeietic stem cells,HSC,1
hematolymphopoietic stem cells,HSCs,1
hemangioma pericytes,HemPericytes,1
hemagglutinin esterase,HE,1
hemagglutinin B,rHagB,1
help seeking behavior training,HSBT,1
helix turn helix,wHTH,1
helix turn helix,HTH,1
helix loop helix zipper,bHLHZ,1
helix inverted repeat,5HIR,1
helix bundle,6HB,1
helicase like transcription factor,HLTF,1
helical paths,HPs,1
helical domain,aHD,1
heavy drinking,HD,1
heavy drinkers,HDs,1
heavy drinkers,HD,1
heavy chains,HCs,1
heavy chain ferritin,HCF,1
heat stress proteins,HSP,1
heat stable antigen,HSA,1
heat shock protein,HSP60,1
heat killed LM,HKL,1
heat killed L. monocytogenes,HKLM,1
heart valves,HVs,1
heart transplant,HTx,1
heart period variability,HPV,1
hearing restored,HR,1
hearing protection devices,HPDs,1
hearing loss,childHL,1
healthy volunteers,HV,1
healthy smokers,HS,1
healthy never smokers,HNS,1
health warning labels,HWLs,1
health service utilization,HSU,1
health savings accounts,HSA,1
health risking sexual behavior,HRSB,1
health promotion,HP,1
health promoters,HPs,1
health education programs,HEP,1
health education comparison,HEC,1
health coaches,HC,1
health care providers,HCPs,1
healed myocardial infarction,HMI,1
head mounted display,HMD,1
head down tilt,HDT,1
hazardous drinking,HD,1
hazard ratios,HR,1
harmonious anomalous retinal correspondence,HARC,1
harmful legal products,HLPs,1
hamster tracheal surface epithelial,HTSE,1
hairy cell leukemia,HCL,1
hair follicles,HFs,1
hair follicle stem cells,HFSCs,1
hair bundles,HB,1
haematopoietic stem progenitor cells,HSPCs,1
habituation reminders,HRs,1
gustatory receptors,GRs,1
guinea pig inclusion conjunctivitis,GPIC,1
guidance cues,GCs,1
guanylyl/guanylate cyclase,sGC,1
guanylyl cyclase C,GCC,1
guanylate monophosphate pathway,cGMP,1
guanylate cyclases,GCs,1
guanylate cyclase activating proteins,GCAPs,1
guanine nucleotide releasing factor,GNRF,1
guanine exchange factors,GEFs,1
guanine dissociation inhibitors,GDIs,1
guanine dissociation inhibitor,GDI,1
guanine adenine adenine,GAA,1
growth plate chondrocytes,mGPCs,1
growth plate,GP,1
growth mixture models,GMM,1
growth hormone receptor,hGHR,1
growth factrors,GF,1
growth factor receptor,GFR,1
growth factor independence,GFI,1
growth factor domain,GFD,1
growth factor deprivation stress,GFDS,1
growth factor dependence,GFD,1
group randomized trial,GRT,1
group cognitive behavioral therapy,GCBT,1
group clinical visits,GCV,1
group Motivational Interventional,GMI,1
gross tumor volume,GTV,1
gross total resection,GTR,1
gross chromosome rearrangements,GCRs,1
gross chromosomal instability,GCI,1
greater epithelial ridge,GER,1
gravito inertial acceleration,GIA,1
graphics programming units,GPUs,1
graphical processing units,GPUs,1
graphical processing unit,GPU,1
graphic user interface,GUI,1
granzyme B,GB,1
granzyme B,GrzB,1
granulocyte monocyte progenitors,GMP,1
granulocyte macrophage colony stimulating factor,GMCSF,1
granule neurons,GNs,1
granule cell progenitors,GCPs,1
granule cell domain,GCD,1
granular osmiophilic material,GOM,1
granular insular,GI,1
granular component,GC,1
gramicidin A,GA,1
graft vs. tumor,GVT,1
graft vs. host disease,aGVHD,1
graft vs. host disease,oGVHD,1
graft versus malignancy,GVM,1
graft versus host,cGVH,1
graft versus host,GVH,1
graft verses host disease,GVHD,1
graft coronary artery disease,GCAD,1
grade point average,GPA,1
good manufacturing produced,GMP,1
gonococcal urethritis,GU,1
gonococcal genetic island,GGI,1
gonadotropin release hormone,GnRH,1
goblet cells,GCs,1
goblet cell,GC,1
glycosylated nanoparticles,GNs,1
glycosyl phosphophatidyl inositol,GPI,1
glycoprotein hormones,GpHs,1
glycogen synthetase kinase,GSK,1
glycogen storage diseases,GSDs,1
glycogen storage disease,GSD,1
glycodelin A,GdA,1
glycine modulatory site,GMS,1
glycine cleavage system,GCS,1
glycine betaine,GB,1
glycine alanine repeat,GAR,1
glycerophosphate oxidase,GlpO,1
glycerol phosphate dehydrogenase,mGPD,1
glycerol kinase,GyK,1
glycerol kinase,GK,1
glycerol kinase,GlpK,1
glycemic index,GI,1
glutathione peroxidases,GPxs,1
glutathione peroxidase,GPx1,1
glutathione S transferase pi,GSTP1,1
glutathione S transferase A1,GSTA1,1
glutathion S transferase,GST,1
glutaryl CoA dehydrogenase,GCD,1
glutamyl hydrolase,hGH,1
glutamyl hydrolase,GH,1
glutamic acid rich protein,GARP,1
glutamatergic receptors,mGluR5,1
glutamatergic amacrine cell,GAC,1
glutamate transporters,GT,1
glutamate receptors,mGluR1/5,1
glutamate receptors,mGluR6,1
glutamate receptor interacting proteins,GRIPs,1
glutamate receptor,GR,1
glutamate receptor,mGluR1a,1
glutamate pyruvate transaminase,GPT,1
glucuronic acid,GA,1
glucosyl ceramide,GlcCer,1
"glucosidase, beta, acid",GBA1,1
glucose variability,GV,1
glucose sensitive,GS,1
glucose regulatory protein,GRP58,1
glucose regulated protein,GRP,1
glucose phosphate isomerase,GPI,1
glucose metabolic rate,GMR,1
glucose mediated glucose uptake,GMGU,1
glucose inhibited,GluI,1
glucose inhibited,GI,1
glucose excited,GluE,1
glucose disposal rate,GDR,1
glucose challenge test,GCT,1
glucose P dolichol,GPD,1
glucocorticoid receptors,GRs,1
glucocorticoid receptor elements,GRE,1
glucocorticoid receptor,GcR,1
glucagon like peptide1,GLP1,1
glomerulus basement membrane,GBM,1
glomeruloid bodies,GB,1
glomerulo tubular balance,GTB,1
glomerular sclerosis,GS,1
globus pallidus,GPe,1
globally convergent method,GCM,1
global minimum energy conformation,GMEC,1
global genome repair,GGR,1
global cerebral ischemia,GCI,1
global cerebral ischemia,tGCI,1
global amnesia,GA,1
glioma tumor stem cells,GTSCs,1
glioma C1 channels,GCC,1
glioblastoma initiating cells,GICs,1
glial restrictor precursors,GRPs,1
glial restricted precursors,GRP,1
glial progenitor cells,GPCs,1
glial precursor cell,GPC,1
glial fibrillary acid proein,GFAP,1
glass nanopore electrode,GNE,1
gingival fluid,GF,1
gingival crevicular fluid,GCF,1
gingival crevice fluid,GCF,1
giant migrating contraction,GMCs,1
giant cells,GCs,1
gestational trophoblast diseases,GTDs,1
germline encoded mycolylreactive,GEM,1
germinal zone,GZ,1
germinal vesicles,GVs,1
germinal vesicle transfer,iGVT,1
germinal vesicle breakdown,GVB,1
germinal matrix,GM,1
germinal center B,GCB,1
geographic positioning system,GPS,1
geographic information systems,GISs,1
geo political units,GPUs,1
genotype phenotype,GP,1
genomically recoded organism,GRO,1
genomic mismatch scanning.,GMS,1
genomic bisulfite sequencing,GBS,1
genome wise association studies,GWAS,1
genome wide significant,GWS,1
genome wide scan,GWS,1
genome wide linkage studies,GWLS,1
genome wide associations studies,GWAS,1
genome wide association study,GWAS1,1
genome wide association studies,qGWAS,1
genome wide association screens,GWAS,1
genome wide associate study,GWAS,1
genome tagged mice,GTMs,1
genome relative risks,GRRs,1
genome architecture,GA,1
genital ulcer disease,GUD,1
genital tubercle,GT,1
genital tract,GT,1
genetically modified endothelial cells,GMEC,1
genetically modified,GM,1
genetically engineered mice,GEM,1
genetically engineered endothelial cells,GEECs,1
genetic variants,GVs,1
genetic reference populations,GRPs,1
genetic instability,GI,1
genetic epidemiological,GE,1
genetic counseling,GC,1
genes of interest,GOIs,1
generally regarded as safe,GRAS,1
generalized varying coefficient partially linear models,GVCPLM,1
generalized partially linear models,GPLM,1
generalized atrophic benign epidermolysis bullosa,GABEB,1
generalized aggressive periodontitis,GAgP,1
generalized additive models,GAMs,1
generalized Born,GB,1
generalization stimuli,GS,1
generalizability theory,GT,1
general stress response,GSR,1
general social communication,GSC,1
general purpose graphics processing units,GPGPUs,1
general population,GP,1
general linear model,GLM,1
general health promotion,GHP,1
general health information,GHI,1
general growth mixture models,GGMM,1
general binding domains,GBD,1
general anesthetics,GA,1
general anesthetics,GAs,1
gene wide association study,GWAS,1
gene regulatory elements,GREs,1
gene non expanded,GNE,1
gene network,GN,1
gene expression profiling,GEP,1
gene expression profile,GEP,1
gene expression arrays,GEAs,1
gene expanded,GE,1
gene environment,GE,1
gene copy number,GCN,1
gene conversion,GC,1
gene breaking transposon,GBT,1
gene V protein,GVP,1
gemcitabine resistant,GR,1
gel forming mucins,GFM,1
gel eluted liquid fraction entrapment electrophoresis,GELFrEE,1
gated myocardial perfusion,GMP,1
gated inwardly rectifying K+,GIRK,1
gastrointestinal associated lymphatic tissues,GALT,1
gastric residual volumes,GRVs,1
gastric residual volume,GRV,1
gastric releasing peptide,GRP,1
gastric instrinsic factor,GIF,1
gastric epithelial progenitor,GEP,1
gastric epithelial cells,GEC,1
gas vesicles,GVs,1
gas vesicle,GV,1
gas trapping,GT,1
gas chromatography combustion isotope ratio mass spectrometry,GCCIRMS,1
gap junction intercellular communication,GJIC,1
ganglion cells,alphaGCs,1
ganglion cell complex,GCC,1
gamma synuclein,GS,1
gamma secretase inhibitor,GSI,1
gamma secretase,GS,1
gamma glutamyl leukotrienase,GGL,1
gamma glutamyl cysteine synthetase,GGCS,1
gamma amino butyric acid A,GABAA,1
galvanic vestibular stimulation,sGVS,1
galvanic vestibular stimulation,GVS,1
galanin receptors,"Ga1R1,2,3",1
galanin receptor,GalR,1
galactosyl ceramide,GalCer,1
galactosyl ceramide,alphaGalCer,1
galactose oxidase,GalO,1
galactose oxidase,GOase,1
galactose mutarotase,GalM,1
g secretase modulators,GSMs,1
g secretase inhibitors,GSI,1
g secreatase inhibitors,GSI,1
g amino butyric acid,GABA,1
fusogenic membrane glycoprotein,FMG,1
fusion proteins,FPs,1
fusion peptide,FP,1
fusion loop,FL,1
fusiform gyrus,FG,1
fusiform cells,FCs,1
fusiform cell,FC,1
functionality index,FI,1
functional volumes models,FVM,1
functional residual capacity,FRC,1
functional recombination motifs,FRMs,1
functional hypothalamic chronic anovulation,FHCA,1
functional hypothalamic amenorrhea,FHA,1
functional electric stimulation,FES,1
functional connectivity tensor,FCT,1
functional connectivity magnetic resonance imaging,FCMRI,1
functional connectivity,iFC,1
functional connectivity,rsFC,1
functional abdominal pain,FAP,1
fumaric acid ester,FAE,1
fumarate hydratase,FH,1
fulminant hepatic failure,FHF,1
fully relaxed pressure,FRP,1
full collapse fusion,FCF,1
frozen section analysis,FSA,1
frontonasal mesenchyme,FnM,1
fronto parietal,FP,1
frontal temporal parietal,FTP,1
frontal temporal dementia,FTD,1
frontal temporal degeneration,FTD,1
frontal eve field,FEF,1
frizzled related proteins,sFRP,1
fresh frozen tumor,FFT,1
fresh frozen plasma,FFP,1
frequency modulation,FM,1
frequency modulated,FM,1
frequency modulated,sFM,1
frequency following response,FFR,1
frequency domain photon migration,FDPM,1
frequency domain optical coherence tomography,FDOCT,1
frequency domain,FD,1
freezing of gait,FOG,1
freeze injury,FI,1
freely joined chain,FJC,1
free swelling,FS,1
free standing,FS,1
free radicals,FRs,1
free light chain,FLC,1
free flow electrophoresis,?FFE,1
free fatty aid,FFA,1
free electron laser,xFEL,1
free CHOL,FC,1
frameshift site,FS,1
fragment based screening,FBS,1
fragment based drug design,FBDD,1
fracture replica immunogold labeling,FRIL,1
fraction effective force,FEF,1
fourier transformed infrared resonance,FTIR,1
four wave mixing,FWM,1
fot processes,FPs,1
fos like immunoreactivity,FLI,1
formylglycine generating enzyme,FGE,1
formylated peptide receptor,FPR,1
formyl peptide receptor,FPR2,1
formula feed,FF,1
formula fed,FF,1
forming homology,FH,1
former Soviet Union,FSU,1
formalin inactivated,FI,1
"formalin fixed, paraffin embedding",FFPE,1
formalin fixed paraffin embedded tissue,FFPET,1
forkhead homology associated,FHA,1
foreign body gift cell,FBGC,1
foreign body giant cells,FBGCs,1
forebrain neuronal cells,FNC,1
forearm vascular resistance,FVR,1
forced expiratory volume,FEV1,1
force frequency relationship,FFR,1
force fields,FF,1
for inversion stimulation,FIS,1
foot withdrawal latency,FWL,1
foot process effacement,FPE,1
food protein induced enterocolitis syndrome,FPIES,1
food intake,FI,1
food frequency questionnaires,FFQs,1
food frequency questionnaire,FFQ,1
follow up,FU1,1
follow up,FU2,1
folliculary dendritic cells,FDC,1
follicle stimulated hormone,FSH,1
folic acid receptors,FAR,1
folate receptors,FRs,1
folate deficiency,FD,1
focused intervention,FI,1
focal segmental glomerular sclerosis,FSGS,1
focal complex,FC,1
focal adhesion targeting,FAT,1
focal adhesion kinase,FAKp,1
focal adhesion kinase,pp125FAK,1
foamy virus,FV,1
flux balance analysis,FBA,1
fluoroscope interface computer,FIC,1
fluorogen activating protein,FAP,1
fluoro m tyrosine,6FMT,1
fluoresence resonant energy transfer,FRET,1
fluorescent resonant energy transfer,FRET,1
fluorescent reporter operator systems,FROS,1
fluorescent recovery after photobleaching,FRAP,1
fluorescent loss in photobleaching,FLIP,1
fluorescent light inducible proteins,FLIPs,1
fluorescent in situ hybrization,FISH,1
fluorescent anisotropy,FA,1
fluorescence speckle microscopy,FSM,1
fluorescence speckle microscopy,qFSM,1
fluorescence resonant energy transfer,smFRET,1
fluorescence resonance energy transfer,spFRET,1
fluorescence reflectance imaging,FRI,1
fluorescence redistribution after photobleaching,FRAP,1
fluorescence recovery after photopbleaching,FRAP,1
fluorescence recovery after photoconversion,FRAP,1
fluorescence polarization anisotropy,FPA,1
fluorescence laminar optical tomography,FLOT,1
fluorescence intensity cluster analysis,FICA,1
fluorescence in situ hybridizaition,FISH,1
fluorescence in site hybridization,FISH,1
fluorescence image guided surgery,FIGS,1
fluorescence energy transfer,FET,1
fluorescence cross correlation spectroscopy,FCCS,1
fluorescence confocal microscopy,FCM,1
fluorescence confocal laser scanning microscopy,FCLSM,1
fluorescence anisotropy microplate assay,FAMA,1
fluorescein angiography,FA,1
fluomphore assisted carbohydrate electrophoresis,FACE,1
fluid flow shear stress,FFSS,1
fludarabine cytoxan rituximab,FCR,1
flow sensitized dephasing,FSD,1
flow limiting segment,FLS,1
flow diverters,FDs,1
flow cytometry,mpFC,1
flow cytometry,FC,1
floor plate,FP,1
floating light activated micro electrical stimulators,FLAMES,1
flibroblast like cells,FLC,1
flexor digitorum profundus,FDP,1
flexible sigmoidoscopy,FS,1
flexible loop domain,FLD,1
flaxseed supplementation,FS,1
flavin dependent halogenases,FDHs,1
flat panel devices,FPD,1
flat panel detector,FPD,1
flash echo imaging,FEI,1
flame spray pyrolysis,FSP,1
fixed ratio,FR,1
fixed charge,FC,1
fish oil,FO,1
first heart field,FHF,1
first generation,FG,1
first episode psychosis,FEP,1
finite element models,FEMs,1
finite element,?FE,1
finite difference,FD,1
final menstrual period,FMP,1
figure of merit,FOM,1
field programmable gate arrays,FPGAs,1
field of view,rFOV,1
field inversion gel electrophoresis,FIGE,1
field effect transistor,smFET,1
field cycling,FC,1
fidelity enhancement,FE,1
fibrous dysplasia,FD,1
fibrous cap,FC,1
fibrocystic breast conditions,FBC,1
fibroblastic reticular cell,FRC,1
fibroblastic reicular cells,FRC,1
fibroblastic growth factor,FGF,1
fibroblast stem cells,FSCs,1
fibroblast like synovial,FLS,1
fibroblast growth factor,aFGF,1
fibroblast cell lines,FCL,1
fibroblast activating proteinase,mFAP,1
fibroblast activating protein,FAP,1
fibrobast growth factor,bFGF,1
fibrinogen degradation products,FDPs,1
fibrillar center,FC,1
fiber specific expression,FSE,1
fiber orientation distributions,FOD,1
fiber optic,FO,1
fetoprotein transcriptional factor,FTF,1
fetal ventral mesencephalic,FVM,1
fetal thymus organ cultures,FTOC,1
fetal thymic organ culture,rFTOC,1
fetal prostate stem cells,FPSCs,1
fetal liver epithelial cells,FLEC,1
fetal liver,FL,1
fetal hematopoietic cells,FHC,1
fetal cortical neurons,FCN,1
ferric binding protein,FBP,1
ferredoxin: thioredoxin reductase,FTR,1
ferredoxin I,FdI,1
fenestral diaphragm,FD,1
femoral segmental defect,FSD,1
femoral nerve blocks,FNB,1
femoral neck,FN,1
femoral artery occlusion,FAO,1
female primary health workers,FPHWs,1
